,expr
678,$=\mathrm{MV}(X\wedge a)$
679,$M_i(x)+Q_i(x)=\alpha_i(x)F(x)$
680,$\delta = \iota/(1+\iota)$
681,$a_1'=a_0-X_1$
682,$X=\sum X_i$
683,$\mathbf {S\Delta X'}$
684,$X\le b$
685,$\delta=\iota/(1+\iota)$
686,$(\delta_p - il_p)/(\nu_p-l_p)$
687,$x=\mathsf{VaR}_p(X)$
688,$\mathbf {\alpha_2}$
689,$1200/1800=0.667$
690,$\sigma_0=\sigma_1$
691,$a(f + (1-f)/q) -1$
692,$g \cdot dX$
693,$\beta_i(a)/\alpha_i(a) < 1$
694,$\xtext$
695,$Q_{1}\Delta X$
696,$X_g$
697,"$X=X(x_1,\dots,x_n)=x_1X_1 + \cdots + x_nX_n$"
698,$s\leftrightarrow 1-s$
699,$\mathcal Q_i(X)$
700,$\mathsf{E}[X] +\lambda\mathsf{E}[(X-\mathsf{E} X)^+]$
701,$V_j$
702,$X'=X\wedge a$
703,$20+8t$
704,$\mathsf{Pr}(X < x)\le \mathsf{Pr}(X\le x)$
705,$\Delta_{2}$
706,$\alpha_{2}$
707,"$(1,1)$"
708,$4$
709,"$Q_{i,j} = M_{i,j}/\iota_j$"
710,$L^\infty$
711,$f(1)=1$
712,"$0,10,40$"
713,$\rho(X+c)=\rho(X)+c$
714,$H[Y_j]$
715,$Z=(1-p)^{-1}1_A$
716,$\beta_i(x)g(S(x))$
717,"$A_3=[0, \epsilon-k]$"
718,$\mathsf{TVaR}_{0.95}$
719,"$dx,dt,ds$"
720,$f(\omega)\ge 0$
721,$\beta=0.57$
722,$(X\wedge a)$
723,$X < a$
724,$\lambda<1$
725,"$X_{0,1}$"
726,$\omega'\not=\omega$
727,$X_0< X_1 < \dots < X_m$
728,$\tilde X_1 + \tilde X_2 = X_1 + X_2$
729,$\mathbf {X_1(a)}$
730,$\mathsf{VaR}\_p(X\_0)$
731,$-(1-s)g''(1-s) + g(0+)\delta_1 + \sum_s s(g'(s-)-g'(s+))\delta_{1-s} + g'(1)\delta_0$
732,$a>a_{ro}$
733,$g'(0)=\infty$
734,$(X\wedge a)/X$
735,$P_g\ll P_X$
736,$Z\le (1-p)^{-1}$
737,$F_g$
738,$\bar P(x)$
739,$d^*=(\log(A/L) + (r_h-\mu_L + \sigma^2/2))/\sigma\sqrt{t}$
740,"$g(s)= \displaystyle\int_0^s g'(t)\,dt = (s/(1-p)) \wedge 1$"
741,"$(s_j=0,g_j>0)$"
742,$P'<\rho(W_1\wedge a_1)$
743,$\mathsf{COHERENT}$
744,$\Delta g(S_0)=1-g(S_0)$
745,$\rho_g(V)$
746,$X_t$
747,$X_1+X_2=X=x$
748,$m=1$
749,$X_n\uparrow X$
750,$v_1$
751,$a\ge 10$
752,$\mathbf {X_{1}}$
753,$\gamma=0.633$
754,$r=0.038$
755,$1000(1+t)$
756,$\mathbf {x_2}$
757,$f(0)=0$
758,$\mathcal M(\mathsf{P})$
759,$p(\nu(p)-l(p))$
760,$B(X)$
761,$h(0.9)/0.9 = 0.76$
762,"$\int_{[0,p]} \dfrac{\mu(dt)}{1-t}$"
763,$\mathsf{TVaR}_{0.5}(X_1)=9$
764,${}^nS(t)$
765,$Q(a)=\nu F(a)$
766,$\rho(X_i)$
767,$S(x_5)$
768,$h_x$
769,$\mathbf {Z_1}$
770,$Y\le 0$
771,$\mathsf{E}[X] + \pi \mathsf{E}[(X-\mathsf{E}[X])^+]$
772,$(I/a + U/R)$
773,$v=1/1.1<1$
774,$0 < r \le 1$
775,$\{ p \mid q^-(p) \le x \}=\{ p \mid p \le F(x) \}$
776,"$(s,g(s))$"
777,$R_f=0$
778,$\alpha_i'(x)>0$
779,$\lim_{s\downarrow 0} g_\tau(s) = \tau / (1+\tau)$
780,$\mathit{NPV}_1=0$
781,$X\wedge a\Delta S$
782,$\mathsf{TVaR}_{0.75}(X_2)=90$
783,$K = A-P$
784,$A\in\mathcal F'$
785,$\le 0$
786,$Z'(g(s))g'(s)=Z'(s)$
787,"$\sum_i a(X_i, p^*)=a(X)$"
788,$a_{gc}:=\mathit{VaR}_{p}(X)=18000.0$
789,$v=1/(1+i)$
790,"$\alpha, \beta, \kappa$"
791,$S_{X\wedge a}(x) = S_X(x)$
792,$W_0=Y_{0} + W_1$
793,"$s_0, s_1, s_2$"
794,$AR$
795,$S_j:=S(X_j)$
796,$f'_-$
797,"$ is average invested assets, equal to $"
798,$\mathsf{VaR}_{0.99}(X_2)=100$
799,$X_t:=\mathsf{E}[X\mid \mathcal F_t]$
800,$q(F(x))$
801,$a_i$
802,$X_1=t$
803,$q=ps_g$
804,$X>Y$
805,$M=g(S)-S$
806,$X=1800$
807,$g_2(s)=s^{0.5}$
808,$xS(x)|_0^\infty$
809,$x_h(1-p)$
810,$\nu+\delta=1$
811,$\rho_i$
812,$\mathbf {Q_{2}\Delta X}$
813,$\mathsf{SSD}$
814,$X_i\dfrac{X\wedge a}{X}$
815,$r(X)=g'(S(X))$
816,$X\wedge d$
817,$1_{X>x_1}$
818,"$\int g(S(x))\,dx$"
819,"$c(1,3)-c(3)$"
820,$0.5$
821,$A(\lambda X)=\lambda A(X)$
822,$\mathsf{Pr}(X=y_j)$
823,$\mathsf{E}[u(R - X)]=0$
824,$\rho(X\wedge a)=\mathsf{E}_\mathsf{Q}[X\wedge a]$
825,$\mathbf {Z_5}$
826,$c=(1-\alpha)^{-1}$
827,$\mathsf{TVaR}_p(X)=1=\mathsf{E}_\mathsf Q[X]$
828,$M_2dX$
829,$\mathit{EGL}_{ro}(a)=P(X_{-1}\wedge a) - P(X_{-1}\wedge a_{ro}) \ge 0$
830,$2\le x\le 8$
831,$\mathsf{CTE}_p$
832,$f(\mathsf{VaR}_p(X))$
833,$\mathsf{E}_{\mathsf Q_k}[X'']=\mathsf{E}_\mathsf{P}[X'']$
834,$X_n=X$
835,"$Y_{t',d}$"
836,$\mathsf{E}[F_2]=\mathsf{E}[F_0]$
837,$\mathsf{E}[e^{hX}] = \exp(h\mu+\sigma^2h^2/2)$
838,$D\rho_X(X_i)=D\rho_i = x_i\dfrac{\partial\rho}{\partial x_i}$
839,$a(X)\le a(Y)$
840,$g'(s)<1$
841,$\beta > \alpha$
842,$\bar\iota=\iota$
843,$\int_a^{a+y} S(x)dx$
844,$0.125 \cdot 8 = 1$
845,$h\left(\displaystyle\int_\Omega g(X(\omega))\mathsf{Pr}(d\omega)\right)$
846,$\bar\delta(x)$
847,$P_{act}-P$
848,"$\rho(X, p^\star)=a(X)$"
849,$q(0.75)$
850,$s=S_X(y)$
851,$\rho l = \iota C$
852,$\alpha(1-\alpha)(1-s)^{\alpha-1} + \alpha\delta_0$
853,$Y_s$
854,$\eta\nu$
855,$(g_j-s_j)/(1-g_j)$
856,$Z=g'(S_X(x))$
857,$\mathsf{E}_{\mathsf Q}[Y]=\mathsf{E}[Yg'(S(X))]$
858,$\Delta S_5$
859,$F(x)$
860,$D=(X-a)^+$
861,$\sigma^2/2$
862,$i=1$
863,$h(p)\le p$
864,$b = g/(1-g)$
865,"$d=d(X_1,\dots,X_n)$"
866,$X=\max(X)$
867,$v$
868,$F(q(p))=p$
869,$\mathsf{E}[Z]=1$
870,$g(0+)=\mu(\{1\})$
871,$\mathsf{E}[X\mid \mathcal F_{\tau}]$
872,$X_i(a)$
873,$p=0.999$
874,$m\ge 1$
875,$X_1(a)$
876,$\Delta_s=g'(s-)-g'(s+)$
877,$\mathsf Q \ll \mathsf P$
878,$k/n$
879,$L(X)=w(X)/\mathsf{E}[w(X)]$
880,"$X_{t-1,2}$"
881,$\mathsf{Pr}(X\ge x)\ge 1-p\ge \mathsf{Pr}(X> x)$
882,$d=1-v$
883,"$f(t)=a(tx_1,\dots, tx_n)=ta(x_1,\dots, x_n)$"
884,$\partial a/ \partial v_i$
885,$-g''$
886,$g'(1)=0$
887,$\mathsf{E}[X_ih(X)]=\mathsf{E}[\kappa_i(X)h(X)]$
888,$\mathsf{E}[XZ(X)]$
889,$P(a)=g(S(a))\ge S(a)$
890,$x\mapsto x$
891,$x^{\ast}=\mathsf{VaR}_p(X)$
892,$\mathsf{E}[X] \le \bar P \le \sup X$
893,"$(1,\dots,1)$"
894,$\mathsf{Pr}(X=x_i)=\lambda_i/\lambda$
895,$Y=-X$
896,$\lim_{y\downarrow x} f(y)$
897,$\iota=0.1$
898,$A_Y = 2.155$
899,$g(S)=1$
900,$X:=Y$
901,$0.05$
902,"$\mathbf {j, p, S, \kappa_1, \Delta X, \Delta(X\wedge a)}$"
903,$\mathsf{Pr}(M=m)=\frac{r}{1+r}\frac{1}{(1+r)^m}$
904,$xS(x)\vert_0^\infty =\lim_{x\to\infty} xS(x)=0$
905,$k!$
906,$\kappa_i(x)=\mathsf{E}[X_i\mid X=x]$
907,$602.6 billion and converted to net premium based on $
908,$q(p)\phi(p)\times dp$
909,$B_t$
910,$ABC$
911,$\lim_{x\to-\infty}F(x)=0$
912,$\mathsf{E}[X_2\mid X=20]=6$
913,$\mathbf {M_2\Delta X}$
914,$a = 0.6565$
915,$\mu(ds)$
916,$p<\infty$
917,$X_n(2/3)$
918,$X_s$
919,$x=q(p)$
920,$q_X(p)=\mu+\sigma z_p$
921,"$Y_{0,t}:=\sum_{d>t} X_{0,d}$"
922,$\mathsf{E}[X1_A] / \mathsf{E}[1_A]$
923,$Z_{a}(a)$
924,$\le p$
925,$dx$
926,$A = 8.14864$
927,$L(X)=1_{X=x_p}(X)/f(x_p)$
928,"$\{0, 8, 10\}$"
929,$\mathcal D(X)=c\mathsf{TVaR}_p(X-\mathsf{E}[X])$
930,$P =  \mathsf{TVaR}_\pi(X)$
931,$w=w f(1)=w f(1)+(1-w)f(0) \le f(w 1 + (1-w)0)= f(w)$
932,$Z_\mathit{lin}$
933,$X_t=\mu t + \sigma W_t$
934,$\alpha S$
935,$f(x)=\sin(x)$
936,$\mathbf {X_{2c}}$
937,"$\Omega=\{\omega_1,\dots,\omega_n\}=\{\text{Ada}, \text{Bernhard}, \dots, \text{Zeno} \}$"
938,$\alpha(1+fg/(1-g))$
939,$s > s_1$
940,$t=2/3$
941,$\int_0^s \phi(1-t)dt$
942,$\rho(U)=\mathsf{E}_\mathsf Q[U]$
943,$H_k(X) \le H_k(Y)$
944,$X\preceq Y$
945,$1-1/c$
946,$0 < s < 1$
947,$-\rho(-X)\le \mathsf{E}[X]$
948,$\infty$
949,$q(\hat p)$
950,$Z=g'(S(X))$
951,$n+1=N$
952,$P=L/(1+R_L)$
953,$\rho(X_n)\not\to \rho(X)$
954,$X'\Delta g(S)$
955,$\mathbf {x_1}$
956,$\beta_i(X_4)$
957,$s>0.2$
958,$q_{X+c}(p)=c+q_X(p)$
959,$X=q(F(X))$
960,$0.2 < s < 1$
961,$\mathsf{E}[X\mid \mathcal F'](\omega)$
962,$t>0.5$
963,$0 \le t \le 1$
964,"$\mathsf{TVaR}_p(X(x_1,x_2))=(x_1 + x_2)\mathsf{TVaR}_p(Y)$"
965,$X_1\le X_2\implies a(X_1;X)\le a(X_2;X)$
966,$\rho(X_j)=\max_k \mathsf{E}_\mathsf{Q_k}[X_j]$
967,$\rho_c(X)=\mathsf{TVaR}_{0.8}(X)=8.5$
968,$\mathbf {\Delta S}$
969,$V_X$
970,$\mathsf{E}[g'(S(X))]=\int_0^\infty g'(S(x))f(x)dx=\int_0^\infty -\frac{d}{dx}g(S(x))dx=g(S(0))-g(S(\infty))=g(1)-g(0)=1$
971,$\rho(1)=1$
972,"$(3,2)$"
973,$a_2'$
974,$x_{i-1}\le x'_i\le x_i$
975,$\mathsf{E}[ X_i \mid X(x) = q_{x}(p)]$
976,$\mathsf{TVaR}_p(X)=(12(0.9-p) + 2.5)/(1-p)$
977,$V$
978,"$D^f\rho_{W_t\wedge a, W_t}(Y_{0})$"
979,$\mu$
980,$\beta_i(x) =\mathsf{E}_{\mathsf Q}[X_i/X\mid X>x]$
981,$y=(\log(x)-\mu)/\sigma$
982,$\sup(X)<\infty$
983,$+\infty$
984,$F^{-1}(p)=q(p)$
985,$Z(y_j)$
986,$\bar Q_{d}=a_{d}-\bar P_{d}$
987,$\rho(X_n) \uparrow \rho(X)$
988,$\bar P_0>\mathsf{E}[Y_{0}]$
989,$S(a)$
990,$(1-g(s))(1-q)$
991,$\Delta \mathit{MV}_{gc}(a)$
992,"$X_1,\dots,X_m$"
993,$da1_{X>x}$
994,$g_1F$
995,"$\mathsf{E}[X_i(a)\,g'(S_{X\wedge a}(X\wedge a))]$"
996,"$\bar P_{0,t}:=\rho(Y_{0,t})$"
997,$x_0+x_1+x_2$
998,$\bar S(a)=\displaystyle\int_0^a S(x)dx$
999,$S(X_j)>0$
1000,$f(s)=\alpha(1-\alpha)(1-s)^{\alpha-1}$
1001,"$1_A:\Omega\to \{0,1\}$"
1002,$g(S(\infty))=0$
1003,"$\alpha_i(a) = \dfrac{\sum_{j:X_j>a} (X_{i,j}/X_j)p_j}{\sum_{j:X_j>a} p_j}$"
1004,"$P_i,M_i, Q_i$"
1005,$C'_i$
1006,$l_i$
1007,$A(c)=c$
1008,$I$
1009,$X\preceq_m Y$
1010,"$(-\x, 2)$"
1011,"$\rho(X),\rho(Y)\le 0$"
1012,$a_{d} = \mathsf{E}[Y_{d}]+4\sigma(Y_{d})$
1013,"$X_{0,t}$"
1014,$a-X\le 0$
1015,$m_3=0$
1016,$\mathsf{E}[Z]\ge 1$
1017,$\mathsf{E}[X_iZ_j]$
1018,$\rho(W_1\wedge a_1 \wedge a_1')$
1019,$\mathsf{E}[XZ]$
1020,"$\mathsf{CONVEX,LI}$"
1021,$1_{X>x}$
1022,$\tau a$
1023,$E\in\mathcal F$
1024,$a/Q = 1 + R/Q$
1025,$F_Y$
1026,$\mathbf {\Delta g(S)}$
1027,$X(T(U))$
1028,$\esssup(X)=\sup\{x\mid \mathsf{Pr}(X>x)>0 \}$
1029,$\le 1/(1-p)$
1030,$0\le \lambda\le 1$
1031,$r\times 1$
1032,"$(0,1,2,3,4,5,6,7,8,9)$"
1033,"$(3,1)$"
1034,$M=\mathsf{var}nothing$
1035,$\mathcal F_0\subset\mathcal F_1\subset \cdots\subset \mathcal F_N$
1036,$v_f\mathsf{E}_\mathsf{Q}[X_i]$
1037,$\mathsf{Pr}(X=2)=0.5$
1038,$\dots$
1039,$R_C$
1040,$k = 3.3 s^{0.82}$
1041,"$X_n=1_{\{0,1,\dots,n-1\}}$"
1042,$X(\omega)=x$
1043,$R_L$
1044,$X=10$
1045,$Q_i$
1046,$P(a)$
1047,$\mathsf{E} X + c{(X-\mathsf{E} X)^+}_p$
1048,$\rho(X)\ $
1049,$U(1)=1$
1050,$g(S_{X\wedge a'}(x))$
1051,"$ occurs, i.e., those with the value 1 in the $"
1052,$\Delta X_m$
1053,"$(0,0,0,0,0,0,0,5,0,5)$"
1054,$D=1$
1055,$\rho(X)=\max_i \rho_i(X)$
1056,$a_h=2-a_l$
1057,$0 < \alpha \le 1$
1058,"$i=1,\dots,N$"
1059,$-norm equal to 1. (Note that $
1060,$g(0.1)=\sqrt{0.1}=0.316$
1061,$\rho_g(X)=\mu+\lambda$
1062,$0.5 + U/2$
1063,$-g'(S(x))f(x)$
1064,$\mathsf{E}[Y \mid U]$
1065,$1-(p_R+p_Y)$
1066,$(1+\epsilon)v_1$
1067,$\Vert X-Y\Vert := \sup_{\omega\in\Omega} |X(\omega) - Y(\omega)|$
1068,"$(\partial a/\partial x_1)(tx_1,tx_2)= 3tx_1 /a(tx_1, tx_2) =  3x_1 /a(x_1, x_2)=\partial a/\partial x_1$"
1069,$\mathsf{TVaR}_p$
1070,$U\le u$
1071,$-dS=f(x)dx$
1072,$\mathsf{E}_\mathsf{Q}\left[\dfrac{X_i}{X}(X\wedge a)\right] + \tau a \mathsf{E}_\mathsf{Q}[X_i/X\mid X > a]$
1073,$\mathsf{COM}$
1074,$1_\omega$
1075,$\alpha=0.5$
1076,"$\mathsf{biTVaR}_{p_0,p_1}^w(X)=\mathsf{TVaR}_{p^\ast}(X)$"
1077,$\mathbf{x}=\mathbf{1}$
1078,$\beta_i(x)/\alpha_i(x)$
1079,$d^*$
1080,"$\mathbf {\omega_1},\dots,\mathbf {\omega_n}$"
1081,$X_2-X_1$
1082,$q_{X_i}(p)=\Phi^{-1}(p)$
1083,$\mathsf{Q}\in\mathscr{P}$
1084,$Z_a$
1085,$\mu(\{p_0\}) = 1-w$
1086,$Z(\omega)> 0$
1087,$r=0.045$
1088,$h(s)=s^m$
1089,$X\_{1}$
1090,$cv=0.557$
1091,$du = -g'(S(x))dF(x)$
1092,$g(0)=r_0$
1093,$\sup_\mathsf{Q} (\mathsf{E}_\mathsf{Q}[X] - l(Q))$
1094,$M_i=\beta_ig(S)-\alpha_iS$
1095,$j$
1096,$g-s$
1097,$\mathsf{E}[X_i \mid X=q(1-g^{-1}(1-p))]$
1098,$w_u=1+c(1-\gamma)$
1099,$a:=\rho(X)$
1100,$g\Delta X \wedge a$
1101,$\beta_i(a)g(S(a))=\mathsf{E}_{\mathsf{Q}}[(X_i/X) 1_{X>a}]$
1102,$M=rQ$
1103,"$X,X_i$"
1104,$Y_c$
1105,$($
1106,$S_{X\wedge a}$
1107,$\rho(1_A)$
1108,$g_4(s)=s^{0.9}$
1109,"$(4,1)$"
1110,$f(L)=0$
1111,$\mathsf{Q}'(\Omega_a) =\mathsf{Q}(\Omega_a)$
1112,$E[(X-qp)^+]$
1113,$I/a + U/R > 0$
1114,$g'(S(x))=(1-p)^{-1}$
1115,$a\le 1$
1116,$a-b_h<0$
1117,$\mathcal V(X)=\frac{1}{1-p}\mathsf{E}[X^+]$
1118,$\mathsf{TVaR}_p(X) := (1-p)^{-1}(T_1+T_2)/N$
1119,$0.417 < p < 0.791$
1120,$1-\nu p$
1121,$\sqrt{0.9}=0.95$
1122,"$c(1,2)-c(2)$"
1123,$\lambda X$
1124,$r_A$
1125,$\dfrac{\iota}{1+\iota} p$
1126,$a = a(W) = \mathsf{E}[W]+4\sigma(W)$
1127,$\rho_g(X)=452.98$
1128,$a < \infty$
1129,$\alpha(\mathsf Q) = 0$
1130,$\mathsf{VaR}_p$
1131,$X_1=X_2=Y$
1132,$P = 1.5$
1133,$\mathsf{E}_\mathsf{P}[X']$
1134,$S(x)dx$
1135,$L_a^{a+y}$
1136,"$\mathsf P,\mathsf Q_2,\dots,\mathsf Q_r$"
1137,$F(t)$
1138,"$P((1+\epsilon)v_1, v_2, a+da)=P^a((1+\epsilon)v_1, v_2)$"
1139,$\mathsf{E}[X] + \pi\mathsf{var}(X)$
1140,$\tau=0+d$
1141,$Y=f(X)$
1142,$a_1 = 5.991$
1143,$\mathbf {\iota=M/Q}$
1144,$X=X\wedge a + (X-a)^+$
1145,"$s\wedge p=\min(s,p)$"
1146,$a=30$
1147,$1_{U_X\ge p}$
1148,$g(s)\ge s$
1149,$\mathsf Q(A)>0$
1150,$\mathsf{COH}$
1151,$D f(x_0)$
1152,$r_H$
1153,$d=iv$
1154,$U>p$
1155,$p<0.1$
1156,"$\mathsf{biTVaR}_{0,0.9}^{0.3138}$"
1157,$(g(s)-s)/(1-s)$
1158,$P/L$
1159,$\mathsf{E}_Q[X]$
1160,$j=7$
1161,$\mathbf{v}'$
1162,$0< p <1$
1163,$\psi(u)=\mathsf{Pr}(Y > u)$
1164,$\mathsf P(A)=0$
1165,$X_{-1}=x$
1166,$x=q^-(p)$
1167,$(\lambda S(x))$
1168,$Q=1-g(S)$
1169,$\mathsf{E}[X_i/X|X>a]$
1170,$1^+$
1171,$X \wedge a$
1172,$\mathsf{E}[Y_i\mid X_n]$
1173,$\delta(s)$
1174,"$[x, y]$"
1175,$\omega>0$
1176,"$t \in (0,1)$"
1177,$1=1_{X\le a}+1_{X>a}$
1178,$\rho(X_n)$
1179,$Y\equiv 1$
1180,$(dt)^{3/2}$
1181,$m_0=0$
1182,$\iota=\dfrac{M}{Q}$
1183,$X\circ f$
1184,$\rho_c(X)=\mathsf{E}[X]+c\sigma(X)$
1185,$g(s)=s^\lambda$
1186,"$\mathsf{MON,\ NORM}$"
1187,$\sum_i \kappa_i'(x)=1$
1188,$a<E[X_{-1}]$
1189,$Y_m>x$
1190,$p'\ge p$
1191,"$H_k(X):=\mathsf{E}[\max(X_1\dots, X_k)]$"
1192,$\bar  P_i(a)$
1193,$\sum_\omega \mathsf Q(\omega) =\mathsf{E}[Z] / \mathsf{E}[Z]=1$
1194,$\mathsf{P}(X=0)$
1195,$B$
1196,$Np=67.45$
1197,"$X_n,X$"
1198,$(1-p)\gamma(dp)$
1199,$X'=X$
1200,$(1-p)/(p(\nu_p-l_p)^2)$
1201,$0.33$
1202,$\mathsf{E}[X] = \mathsf{E}[\mathsf{E}[X\mid Y]]$
1203,$\mu_U = 1-p = 0.995$
1204,$j+1$
1205,$q_{X+Y}=q_X+q_Y$
1206,$\mathsf Q_{X}$
1207,"$u_{X,r}(p)=\psi_{X,r}^{-1}(p)$"
1208,$L_a^{a+da}=L_0^{a+da}-L_0^a$
1209,$c(X(\mathbf{v}))=c(\mathbf{v})$
1210,$\mathsf{MRM}$
1211,$^{*}$
1212,"$s=0,1$"
1213,"$X(x,-x)\equiv 0$"
1214,$F(x):=\mathsf{P}(X\le x)$
1215,$\mathbf {X_{g}}$
1216,$\max X$
1217,"$\{\mathsf{E}[X_i\,Z] \mid \rho(X)=\mathsf{E}[XZ] \}$"
1218,$\rho(X)=\mathsf{E}_{\mathsf Q_X}[X]$
1219,$q=q(p)$
1220,$\rho(\mathsf{E}[X_2\mid X_1])\le \rho(X_2)$
1221,$1/m>0$
1222,"$B\subset [0,1]$"
1223,$g(S(x))=1-p$
1224,"$f:(0,1)\to (0,1)$"
1225,$\mathbf {S}$
1226,"$p_0,\dots, p_{n'}$"
1227,$X_1-X_0$
1228,$\bar P = \bar S + \bar M$
1229,$\mathbf {X_1}$
1230,$\rho(\tilde X)=\rho(X) + \rho(\tilde X-X)$
1231,$\mathsf{E}[(X-a)^+]$
1232,"$u\in D_n=\{ u \mid u^{(k)} \ge 0, k=1,\dots,n-1, u^{(n-1)}\text{ nondecreasing} \}$"
1233,$l(\mathbf X)=(\sum_i X_i^2)^{0.5}$
1234,$\mathsf{E}_{\mathsf{Q}}[\tilde X-X] \le \rho(\tilde X-X)$
1235,$s=S(x)$
1236,$\mathsf{E}_{\mathsf Q}[Y]=\mathsf{E}[YZ]$
1237,$s_j < 1$
1238,$\bar S(a+da)-\bar S(a)\approx \bar S'(a)da = S(a)da$
1239,$t-1$
1240,$\mathcal D(X+c)=\mathcal D(X)$
1241,"$s\in[0,1]$"
1242,$\mathsf{E}[Yg'(S(X))]$
1243,$p=1-1/n$
1244,$X(\omega)=X_1(\omega)+X_2(\omega)$
1245,"$S(x) + d\,F(x) + (\delta^{\star}-d)\sqrt{S(x)F(x)}>1$"
1246,$\bar S_i(a) := \mathsf{E}[X_i(a)]$
1247,$S(x_#4)$
1248,$1-e^{-\lambda S(x)}$
1249,$\mathcal V$
1250,$\beta>1$
1251,$X_n=n1_A$
1252,$d-1$
1253,$g(S(x))\approx S(x)\approx 1$
1254,$t_0$
1255,$D_1$
1256,$\mathcal E$
1257,$s\uparrow 1$
1258,$Mg(0+)$
1259,$S/L\ge A/L-1$
1260,$\succeq$
1261,$2\mathsf{VaR}_p(X_1) - \mathsf{VaR}_p(X)$
1262,$Y = X + Z$
1263,$)$
1264,$\rho(X)=\mathsf{VaR}_{0.995}(X)-\mathsf{E}[X]$
1265,$\tilde X_2 = X_2 -\mathsf{E}[X_2\mid X_1]$
1266,$p\to 1$
1267,$1-(1-s)^m$
1268,$\mathsf P(T^{-1}(A))=\mathsf P(A)$
1269,$-zf(x)=(d/dx)g(S(x))$
1270,$\rho_X(X_i)$
1271,$P=\rho(X \wedge a)$
1272,$s=0.02$
1273,$F(q^-(p_0))=p_+>p_0$
1274,$\Delta g(S)$
1275,$\Delta$
1276,"$\mu=10, \sigma=2$"
1277,$t=3$
1278,$0\le q\le 1$
1279,$L_a^y$
1280,$l=\sum_i l_i$
1281,$X=30$
1282,$f:I\to\Omega$
1283,$\mathsf{E}[X_2\mid X=x]$
1284,"$f(x,y)=x^3/(x^2+y^2)$"
1285,$g(0+)=\delta$
1286,$S_i(x)$
1287,$h=2$
1288,$g'_\tau(s) = g'(s)/(1+\tau)\ge 0$
1289,$1-\mathsf{P}(X=0)$
1290,$t \ne 0$
1291,"$\mathbf {D^f\rho_{X\wedge 30,X}(X_1)}$"
1292,$\rho=\mathsf{TVaR}_p$
1293,$\kappa_j(x)\approx \mathsf{E}[X_j]$
1294,$\tilde M_i(a) = \bar M_i(a)-\tau_i a_i$
1295,$a>10$
1296,$x^+$
1297,$\pi^{-1}\log\mathsf{E}[e^{\pi x}]$
1298,$A(-X)=-A(X)$
1299,$g(s)=s^{1/3}$
1300,$\{X = x\}$
1301,"$p_1,p_1$"
1302,$0\le x \le 1000$
1303,$U_s$
1304,$\mathsf{Pr}(X< x)\le 0.75 \le \mathsf{Pr}(X\le x)$
1305,"$\{1,2,3\}$"
1306,"$i=0,1$"
1307,$\mathsf{Var}(\Pi)$
1308,$\mathsf{TVaR}_{0.75}(X_1)=10$
1309,$g_k(s)=1-(1-s)^k$
1310,$g'(S_{X}(X))$
1311,$(8t+10t)/2$
1312,$g(S(x_i-))=g(S(x_{i}))$
1313,$\nu + \delta = 1$
1314,$1-1/n$
1315,$\Omega_1$
1316,$\mathsf{Pr}(A\cup B)=\mathsf{Pr}(A)+\mathsf{Pr}(B)$
1317,$\Delta g(S_j)$
1318,$x\leftrightarrow u(x)$
1319,$\eta=0.49$
1320,$X=q(p)$
1321,$\log(\mathit{EER}) = \gamma + \eta  \log(\mathit{PFL}) + \beta  \log(\mathit{LGD})$
1322,$Y=-X_0$
1323,$g'\circ S_{X\wedge a}$
1324,$s_2 - s_1$
1325,$y < q_A(p)$
1326,$\Delta\mathit{MV}$
1327,$g'(s+)$
1328,$\mathsf{Q}(A)=\mathsf{E}[1_AZ]=0$
1329,$w=E[w|s=0.1]=0.06405$
1330,$f'_+$
1331,$f_x=1/S_t$
1332,$S(X(\omega))$
1333,$\rho_2(X)$
1334,$\mathsf{E}[X\mid \mathcal F_t](\omega)=\sum_{i \le t} \omega_i/2^i+2^{-(t+1)}$
1335,$L$
1336,$\partial a/\partial x_1=3x_1/a$
1337,$g(s)\ge 0g(0) + sg(1)=s$
1338,$T:\Omega\to\Omega$
1339,$t>x$
1340,$L^1$
1341,$(a-X_{\mathsf{j}(a)})$
1342,$\alpha=d_i$
1343,"$A=\mathbb Q\cap [0,1]$"
1344,$\mathsf{E}[F_1] > \mathsf{E}[F_0]$
1345,$Q_1\Delta X$
1346,$f(L) \ge 0$
1347,$\rho(X_1)=\rho(X_2)$
1348,$\rho(\tilde X)$
1349,$\mathsf{E}[X] + \pi \mathsf{Var}(X)$
1350,$F_3$
1351,$\mathsf{CTE}_p(X)$
1352,$1_{U < s}$
1353,$Q_2dX$
1354,$p\to S\to gS \to \Delta gS$
1355,$P\ge (\mathsf{E}[X] + \iota a)/(1 + \iota)$
1356,$\Delta  Q_{gc}(a)$
1357,$g(s) = s^a$
1358,$\mathsf{P}(X=1)=0.6$
1359,$d^\ast = 1-(1-g^\ast)/(1-s^\ast)$
1360,$g(s)=g(1-p)$
1361,$\alpha_{Cat}$
1362,"$D^f\rho_{X\wedge a,X}(X_i(a))$"
1363,$\mathsf{E}[e^{kX}]$
1364,$\tilde{\mathsf{Q}}$
1365,$r_f$
1366,$X = \sum_i X_i$
1367,$x_3(S(x_2)-S(x_3))=x_3f(x_3)$
1368,$\preceq_2$
1369,$\Delta \bar Q$
1370,$m_0$
