,expr
675,$v\mathsf E[X] + d\max(X)=\rho(X)$
676,$\rho_{(g)}=\max\{\mathsf{E}(ZX) \mid Z\in \mathcal{A}\}$
677,"$G(x,\omega)=c_k(x)$"
678,$P=\displaystyle\sum_i P_i$
679,$t \le g(t) = \displaystyle\frac{t}{1-p}$
680,$\lambda_{t}$
681,$P + \rho_i(F_i)$
682,$X\circ T=X$
683,$\sigma_\mu(\alpha) = \int_0^\alpha \frac{1}{1-p}\mu(dp)$
684,$X_i < cx/a$
685,$age$
686,$\zeta=\Omega$
687,$X = X_0 + M + A$
688,$l(p)= \nu(p)-\sqrt{(1-p)/p}$
689,$Y \Leftrightarrow \rho(X)\le \rho(Y)$
690,$\beta_i(t)<\alpha_i(t)$
691,$\sqrt{FS}\gg S$
692,$dx_i$
693,$\rho^*(\mu)=\infty$
694,$\mathsf{E}[hY]$
695,$U$
696,$\mathsf{TVaR}_{1}$
697,"$\mathsf{E}(X_{i,2}(a))$"
698,$p_a$
699,$4/3$
700,$\infty$
701,$12.318 / 260.81 = 4.7\%$
702,$1-\tilde p=g(S(x))$
703,$c_x-c_{\text{Nov 1}}$
704,$k-\rho_m(X)$
705,"$P(X_1+X_2)=M(X_1+X_2, \psi(X_1+X_2))=$"
706,$\rho(\cdot\mid\mathcal F_1)$
707,$h\in \nabla\rho(X)$
708,$\bar x$
709,$(v-\nu^*)\int_0^a \sqrt{F(x)S(x)}dx$
710,$Z\circ T_B=Z$
711,$\displaystyle\int_0^\infty xd(g\circ F)(x)$
712,$\rho:L_p\to\bar\mathbb{R}$
713,$x=z$
714,$A_k=A_0 + kN$
715,$ is the total return on invested assets and $
716,$b\approx 0.95$
717,$t=1-g(1)=0$
718,$\le_{\mathrm{cx}}$
719,$\nu(F(x))F(x) = \nu(p)p$
720,$q=1-p=S(x)$
721,"$r_o,r_K$"
722,$q(u_i)$
723,$\bar P^a(t)=\bar P^a_1(t)+\bar P^a_2(t)$
724,${}_b\bar V=1-\bar a_{x+b}/\bar a_x$
725,$\mathsf{E}(X) = \displaystyle\int_0^\infty xf(x)dx = -xS(x)\Big\vert_0^\infty + \displaystyle\int_0^\infty S(x)dx = \displaystyle\int_0^\infty S(x)dx$
726,$\theta(p)=q(1-g^{-1}(1-p))/q(p)$
727,$v-\nu^*$
728,$t\to 1$
729,$p(a) = \nu S(a) + \delta = \nu (S(a) + \rho)$
730,$1 \times 10^{19}$
731,$10^{20}$
732,$i=0.025$
733,"$(1,1)$"
734,$\nu$
735,$\rho_k\to\infty$
736,$\mathcal F_1=\sigma(I)$
737,$f(s) = -g''(1-s)(1-s)$
738,$r_O$
739,"$50 of the amount allowed on each claim in the classes under subsections 3, 4, 4-B, 5 and 6 must be deducted from the claim and included in the class under subsection 8. Claims may not be cumulated by assignment to avoid application on the $"
740,$k\mathsf B(s)$
741,$r_{qp}=\sqrt{pq}$
742,$\phi$
743,$\mathsf{MON}$
744,$g^{ak}=(g^a)^k$
745,$F_{\mathbf{x}}(t)=s$
746,$\rho(X)=\sum_i \mathsf{E}_\mathsf{Q}(X_i)$
747,$Y\le X=0$
748,$k=\mathsf E[X]$
749,$g\in\mathscr{P}$
750,$p(1-p)$
751,$x\not= y$
752,"$\rho(X)= \sup_\zeta \langle \zeta, X \rangle$"
753,"$h_{i,\epsilon}$"
754,"$(X_1,\dots,X_n)$"
755,$R$
756,$A=X_1 + \cdots + X_N$
757,$g\in\mathscr P$
758,$=F^{-1}(p)=$
759,$g^{-1}$
760,$q(1-g^{-1}(1-p))$
761,$Y=\log(X)$
762,$r = \nabla r$
763,$\bar S_i(\mathbf{x}; a) := \mathsf{E}[X_i(\mathbf{x}; a)]$
764,$N(m)$
765,$a_i = \mathsf E[X_i \mid X \ge a]$
766,$X\in L^\infty$
767,$-\int xdS=\int Sdx$
768,$p=\sigma^{-2}$
769,$X=\displaystyle\sum_i X_i$
770,$\partial \rho(X)$
771,$da > 0$
772,$s$
773,$a_1\not=a_2$
774,$H_k(X)=H_k(Y)$
775,$\theta(p)\equiv 1$
776,$\mathsf{E}_\mathsf{Q}(\cdot)$
777,$g(1-F(x))=1-\tilde p$
778,"$\mu_t:=\lambda_t / \int_0^1\lambda_s \,ds$"
779,$d\mathsf{Q}=g'(1-p)dp$
780,$\ge a$
781,$\mathcal{M}$
782,"$k \in_{R} \{2,\dots,p-2\}$"
783,$\int_0^x$
784,$F:\mathbb{R}^n\to \mathcal{X}^n$
785,$N$
786,$\bar M(a)$
787,$C_i=\partial \bar P^a/\partial x_i$
788,$\mathcal F_1\subseteq \mathcal F$
789,$2.6 \times 10^{12}$
790,$\| \sigma \|_p \le c$
791,$\|Z\| = \mathsf{E}(| Z|^p)^{1/p}$
792,"$700 million. Enstar, which owns 9.1% of Watford’s common shares, at the same time agreed to abandon its quest to buy the insurer. In May 2020, activist investor Capital Returns Management LLC called for Watford to be sold or put into runoff, complaining about “consistently poor operating and stock performance” in comparison with its peers in the industry. When an initial offer of $"
793,$t=0$
794,$0.125$
795,$=\mathsf{E}(X\mid X > a)$
796,"$t\in[t, t+dt]$"
797,$\rho_\phi(X)=\displaystyle\int_0^1 q(p)\phi(p)dp=\displaystyle\int_0^1 q(p)g'(1-p)dp=\displaystyle\int_0^\infty xg'(1-F(x))f(x)dx$
798,$\rho(X)=\mathsf{E}(q(U)\phi(U))=\mathsf{E}_Q(q(U))$
799,$-\log(1-\alpha)$
800,$ds=g'(1-t)dt$
801,$Z\ge 0$
802,$M_r$
803,$g^mA^r == r^s$
804,$b\mu_x v^b$
805,$\mathsf{E}_\mathsf{Q}(X_i) = \mathsf{E}_\mathsf{Q}(\mathsf{E}_\mathsf{Q}(X_i \mid X)) = \mathsf{E}_\mathsf{Q}(\mathsf{E}(X_i \mid X))$
806,$. Then $
807,$\iota$
808,$\epsilon >0$
809,$\hat\rho(X)<\rho(X)$
810,$\sum_i I_i=1$
811,"$M(X_1, a_1)+M(X_1, a_2)=M(X_1, a_1+a_2)$"
812,"$=\mathsf{E}(\min(X,a))=\mathsf{E}(X\wedge a)$"
813,$\pi'(s) = \displaystyle\frac{d}{ds}(g(s)g(k/s))$
814,"$(A=g^a,a)$"
815,$X \lt a$
816,"$x=2, M=1.5,\sigma=0.75, K=6$"
817,$h=H(A)$
818,"$X\sim\text{Lognormal}(\text{mean}=5000, cv=3)$"
819,$\rho(p)=\rho(F(x))$
820,$ of paying and $
821,$\mathsf{TVaR}(p)=(1-p)^{-1}\int_{p}^1 q(s)ds$
822,$p=\infty$
823,$x+dx$
824,$d\tilde p =g'(1-p)dp$
825,$X(x) = \sum_i x_iX_i$
826,$G>q_\alpha$
827,$M(a)=g(S(a)) - S(a)$
828,$x \times [f(x)dx]$
829,$S_Y(a)$
830,$\bar a_{x:\lcroof{n}}$
831,$\rho_\phi(X)=\displaystyle\int_0^1 q(p)\phi(p)dp=\displaystyle\int_0^\infty g(S(x))dx=\rho_{(g)}(X)$
832,$\delta\bar a_{x:\lcroof{n}}$
833,$\bar A^{1}_{x:\lcroof{1}}$
834,$\rho^*(\zeta-1)$
835,$(v-\nu^*)\sqrt{F(x)S(x)}$
836,$\theta=c=\nu^2$
837,$ because $
838,$\tilde F$
839,$(\partial \alpha/\partial x_i)q_X(\alpha)q_\zeta(1-\alpha)$
840,$A$
841,$-$
842,$\tilde W$
843,$\tilde p/p$
844,"$\bar P_i(\mathbf{x},a):=\mathsf{E}_g[X_i(\mathbf{x}; a)]$"
845,$(x)$
846,$\mathsf{TI}$
847,$t_1<\cdots<t_n$
848,$(g(S(a)) - S(a)) / (1 - g(S(a)))$
849,$\subseteq$
850,$S(a)$
851,"$(rep.east) + (1.5, -1.75)$"
852,$f(\square)\mapsto f(\square)-1$
853,$t/(1-t)$
854,$\hat\rho_{\mathcal F_1}$
855,"$N\sim\text{Mixed Poisson}(\lambda=0.08 \times (\text{vehicles insured}), cv=0.075)$"
856,$1/x$
857,$\rho(X) \le \rho(Y)$
858,$1-p=q$
859,$\mathsf{E}(X) = E(X_i \mid X\le a)F(a) + =E(X_i \mid X > a)S(a)$
860,$\text{E}(G^3)=g$
861,$X^{\oplus n}=X_1 + \cdots + X_n$
862,$Ann+V$
863,$Z\in L_1$
864,$F(t)=p$
865,$-k_i 1_{A_i}$
866,"$31.5 million. Nine of Argonaut’s 11 top officers were fired, and Singleton began running the operations from headquarters in Los Angeles. Argonaut, one of the last large companies in the malpractice market, discontinued underwriting individual policies for the 20,000 physicians it covered. It continued to offer coverage to the 25 percent of the nation’s hospitals it covered, but at higher rates and covering fewer risks. In the meantime, the company collected $"
867,$a=\inf$
868,$k_1 >0$
869,$X_n\downarrow 0$
870,$\rho=\text{AVaR}$
871,"$R_1(t),R_2(t)$"
872,$E_Q(N_i) = E_Q(\nabla \rho) + E_2$
873,$a\le X\le b$
874,$t<0.12$
875,$\text{E}(G^r)=\theta^r\Gamma(a+r)/\Gamma(a)$
876,"$10 monthly premium and pay out as much as, say, $"
877,"$(fun4.north west)+(-\smlspc,\smlspc)$"
878,$\mathsf E[A] \le \mathsf E[\rho(X^{\oplus N})] \le \rho(A)$
879,$a=\max X$
880,$s_l = f / (n+1)$
881,$M^{\tau_n}_t = M_{t \wedge \tau_n}$
882,$\rho(\cdot\mid \mathcal F_1)$
883,$0\le \alpha<1$
884,$n=2^2$
885,$H_g(X) \le H_g(Y)$
886,$\nu(p) = v-(v-\nu^*)\sqrt{(1-p)/p}$
887,$\mathsf{E}_Q$
888,$\nabla\partial\rho(Z)$
889,"$\sigma=2.0,3.0$"
890,$w \ge 0$
891,$Z=\frac{X-\mathsf{E}[X]}{\sigma(X)}$
892,$k= \mathsf{E}(X\wedge k) + (\rho_m(X\wedge k) - \mathsf{E}(X\wedge k)) + (k-\rho_m(X\wedge k))$
893,$=q(p)$
894,$\delta^2 p +\nu^2q-(p-\nu)^2=\delta^2 p -p\nu^2 -p^2+2p\nu =p(\delta^2 -\nu^2) -p^2+2p\nu =p(\delta -\nu) -p^2+2p\nu =p\delta -p^2 + p\nu = p-p^2$
895,$N\mid G$
896,$\mathsf{E}(L) = q(p)\delta$
897,$\rho(X)=\mathsf{E}[gX]$
898,$u_l>0$
899,$\alpha_i(t) = \mathsf{E}[X_i /X \mid X> t]\not=\mathsf{E}[X_i\mid X> t]/\mathsf{E}[X\mid X>t]$
900,$=Q=\mathrm{MV}(a-X)^+$
901,$\zeta=0$
902,$\mathsf{Var}(X_i)>0$
903,$\phi(0)$
904,$2^2\rightarrow 3^3-1=2\times 3^2 + 2\times 3 + 2 = 26$
905,$\hat\rho(Y)$
906,${}_tV$
907,$\tilde\rho$
908,$a=0$
909,$\square^\square-1$
910,$\rho_t(X) = \rho_t(-\rho_{t+1}(X))$
911,"$\alpha_p = 1- (\| (X-\eta_{p,\alpha})_+\|_{p-1} / \| (X-\eta_{p,\alpha})_- \|_{p})^{p-1}$"
912,$t$
913,$c\ge 1$
914,$g'(0)\le 1$
915,$\mathsf{E}(\theta)=1$
916,$\mathsf{TVaR}_{0.99}(X)=119.8=\mathsf{E}(W+Q\mid X\ge 100)=\mathsf{E}(W\mid X\ge 100) + \mathsf{E}(Q\mid X\ge 100)=19.8+100$
917,$\mathsf{E}(T)=74.25$
918,"$X\wedge a:=\min(X,a)$"
919,$P_Q$
920,$\bar\delta$
921,$\bar a_{40}=17.95$
922,$Y= IX$
923,$L^p$
924,$\mathsf E[A_0\mid N=n]=\mathsf E[X_0^{\oplus n}]=0$
925,"$(asecret.east) + (0,-0.5)$"
926,$\rho(X_n)\downarrow 0$
927,$\tilde p=\tilde p(p)$
928,$dp=$
929,$t=0.25$
930,$\zeta_\epsilon$
931,$s_s < s < s_f$
932,$\exp(n(e^\zeta-1))$
933,$M$
934,$0<p<1$
935,$10^6A_{75}=508676.91$
936,$R_i(t)>C_i(t)$
937,$\rho(X)=\sum_i \mathsf{E}_\mathbb{Q}(X_i)$
938,$se(\hat\beta)$
939,$1 - g(s)$
940,"$j = 1, 2$"
941,$\text{E}(G)=a\theta$
942,$\rho(-k_1 1_{A_1}) = k_1 \rho(-1_{A_1}) < c$
943,$H=G_0-F$
944,$-g''$
945,$\alpha=d$
946,$Y=h(Z)$
947,$\alpha(X)=a$
948,"$(fun1a.south -| fun4a.south east)+(\smlspc,-\smlspc)$"
949,$m=K^{-1}Km$
950,"$\langle \cdot,\cdot\rangle:\mathcal{X}\times\mathcal{M}\to \mathbb{R}$"
951,"$p\in[1,\infty]$"
952,$\mathsf{P}$
953,$q_Y$
954,$\bar P^a$
955,$\bar Q$
956,$\{X\le a\}$
957,$E_\mathsf{Q}(X_i) = E_\mathsf{Q}(E_\mathsf{Q}(X_i \mid X))$
958,"$\phi:[0,1]\to [0,\infty)$"
959,$q(p)=\mathsf{VaR}(p)$
960,$\rho(X)-a$
961,$m(p)$
962,$v^b{}_bq_x\bar a_{x+b} /\bar a_x=v^b{}_bq_x(1-{}_b\bar V)$
963,$\epsilon > 0$
964,$\mathsf{E}(Q/X | X\ge x)$
965,$v\mathsf E[X_i]$
966,$\tau>0$
967,$\Longleftrightarrow$
968,$\rho(X+Y)=\rho(X)+\rho(Y)$
969,$\lambda=0.1525$
970,$\mathsf E[X_i\mid X=x]$
971,$=a$
972,$P_{x+b}-P_x > 0$
973,$0<\alpha<2$
974,$p(\delta_p-il_p)$
975,$1 - \mathsf{Pr}(Z>\mathsf{E} Z)$
976,"$[a,b]$"
977,"$(valu\x.south east)+(\boundpad,-\boundpad)$"
978,"$\rho(X) = \sup_{\zeta\in A} \langle \zeta, X \rangle$"
979,$P(a) = \nu S(a) + \delta = \nu (S(a) + \rho)$
980,"$(X,a_2)$"
981,$\mathsf{E}_\mathsf{Q}(Y\mid X)\mathsf{E}(Z\mid X) = \mathsf{E}(YZ \mid X)$
982,$r=0.045$
983,$a$
984,$F(x):=\mathsf{Pr}(X\le x)$
985,"$C_{1,\cdot}$"
986,$\mathsf{E}_Q(\cdot)$
987,$g(s)=(s/1-p)^\alpha\wedge 1$
988,$\omega$
989,$ = a bond with probability $
990,$p=0.1$
991,$26 \rightarrow 2\times 4^2 + 2\times 4 + 1=41 \rightarrow 60 \rightarrow 83 \rightarrow 109\rightarrow\dots$
992,$x=3$
993,$p\delta_p/p\nu_p=\iota_p$
994,$t=0.5$
995,$c\ge 1/2$
996,$\mathbb{R}^n$
997,$\phi(t) = g'(1-t)$
998,$k<k_0$
999,$\rho(X) = \inf\{ \alpha \mid X+\alpha \in \mathcal{A} \}$
1000,$a\theta=1-s$
1001,$g'(t)<1$
1002,$0 \ge \rho(Y-X) \ge \rho(Y) - \rho(X)$
1003,$B<C<A$
1004,$\square$
1005,$0 < \mu < \lambda$
1006,"$F_n^{-1}(1)=\frac{1}{(n-1)!}\mathsf{E}[\min(X_1,\dots, X_{n-1}]$"
1007,$=\mathsf{E}(X_i/X \mid X \le a)$
1008,$X(\mathbf{x})(\omega)=q_\omega(\mathbf{x})$
1009,$p>0.5$
1010,$X+\epsilon Y$
1011,$1-\Phi(x)=\Phi(-x)$
1012,$>q(p)$
1013,$k\ge n$
1014,$\alpha(X_u) = \text{E}[X\mid X > F_u^{-1}(p)]$
1015,$E(u(X)) \le E(u(Y))$
1016,$p_n=\mathsf{Pr}(N=n)$
1017,$\zeta-\zeta_\epsilon$
1018,$\mathsf{E}_Q(X) =\mathsf{E}(\theta X /\mathsf{E}(\theta))$
1019,$g(s)g(t)=O(d^2)< g(s)$
1020,$Y\le a$
1021,$\zeta\in\partial(X)$
1022,$\rho(T)$
1023,$13809$
1024,$n+2$
1025,$P(a) = L(a) + \iota (a-P(a)) = \nu L(a) + \delta a$
1026,$x_1$
1027,$\sum_j \mathsf{TVaR}_{p_j}(X)m_j$
1028,$\mathscr{O}(\zeta)=\{\zeta T \mid T\in MPT\}$
1029,$\rho(1_A) = 1$
1030,$g'(x)=0$
1031,$\{X>a\}$
1032,$\alpha(\cdot)$
1033,"$h(t)=\int_0^t F_Z^{-1}(1-u)\,du$"
1034,$g''(p)=-\phi'(1-p)\le 0$
1035,$x = 0$
1036,$(\bar a_x - \bar a_{\lcroof{b}})/\bar a_x$
1037,$t=0=1$
1038,$P=\rho_{PH}(X)$
1039,$\mathbf{x}'$
1040,$\mathrm{L}$
1041,$\mathsf{E}(X) = \mathsf{E}(X\mid X \le a)F(a) + \mathsf{E}(X\mid X > a)S(a)$
1042,$(1-t)/t$
1043,$c=1.124$
1044,"$(Alice) + (0,-4)$"
1045,"$\mathsf{cov}(h^i, Y(\mathbf{X})) = \mathsf{E}_P[h^iY(X)]$"
1046,$0<\alpha_1<\alpha_2<1$
1047,"$\rho(X,a)=\int_0^a S(x) + \delta(F(x))F(x)dx$"
1048,$l(p)= \nu-\sqrt{p(1-p)}$
1049,$p-1=22$
1050,$q_{\cdot}(\mathbf{x})$
1051,$\cdot$
1052,$\nabla\rho(X)=\{h\}$
1053,"$i=0,\dots,n-1$"
1054,"$ is time cheap. Indeed, the condition implies the denominator is $"
1055,$g(\sqrt{st})^2$
1056,$g(s)g(t)-g(st)$
1057,$0.475$
1058,"$(ckey2.north west)+(-\boundpad,\boundpad)$"
1059,$\rho_t(X) = \displaystyle{1}{\beta} \log \mathsf E[e^{-\beta X}\mid \mathscr F_t]$
1060,$\bar A_{x+b}$
1061,$\rho(X+\epsilon Y)-\rho(X)$
1062,$\prec_3$
1063,$\rho(T)=76.11$
1064,$\bar R(a)$
1065,"$4.7\times 10^{21} / 10^{19} = 470 \text{\,seconds} \approx 8\text{mins}$"
1066,$X^{\oplus n}$
1067,$\sup \{ \mathsf{E}(LZ) \mid Z \preceq \sigma \}$
1068,"$(Alice)+(0,-2)$"
1069,"$g(s) = \max(g_m, g^0(s))$"
1070,$g'(1)=\alpha < 1$
1071,"$X_-:=\max(-X,0)$"
1072,$g'(1-s)$
1073,$X\in \mathcal X$
1074,$\mathsf{E}_Q(N_i) =$
1075,$\iff P +\rho_i(F_i) < \rho_i(X_i) \iff  P < \rho_i(X_i) - \rho_i(F_i)$
1076,$g'(S(x))=dQ/dP$
1077,$G=\sum_i N_i(x_i) + C_i(x_i)$
1078,$F_X$
1079,$5 \times 10^9$
1080,$1-\tilde p$
1081,$\mathsf{E}_Q=\mathsf{E}$
1082,$1- \nu F(x)$
1083,$\delta_p=1-\nu_p=\rho_p\nu_p$
1084,$X^{\oplus n} -\mathsf E[X] = X^{\oplus n-1} + (X'-\mathsf E[X])$
1085,$\mathsf{E}[Y]=1$
1086,"$\langle \mu,Y \rangle - \langle \mu,X \rangle = \langle \mu, Y-X \rangle \ge 0$"
1087,$q(p)=c$
1088,$\mu$
1089,$\mathsf{E}(X_ig'(S))$
1090,$x=0$
1091,$p\delta_p/p\nu_p=\rho_p$
1092,$g'(t)=αt^{α-1}$
1093,$s_u = (f+1) / (n+1)$
1094,$1-t=g^{-1}(1-s)$
1095,$\rho(X)=\mathsf{E}_\mathsf{Q}[X]$
1096,$X=q_X(U)$
1097,$A=\sum_n 1_{N=n}X^{\oplus n}$
1098,$i\in I$
1099,$L_p$
1100,$\mathsf{CoTVaR}(X_i)$
1101,$g(st) = \displaystyle\frac{st}{1-p} < \displaystyle\frac{s}{1-p}= g(s)g(t)$
1102,$\rho(X)=\lim_n \rho(X_n)$
1103,$\sigma=0.45$
1104,$\tilde F(x)=\mathsf{Pr}(\tilde X-\lambda\le x-\lambda)=\Phi(x-\lambda)$
1105,$x_iX_i$
1106,"$(0,0)$"
1107,$\alpha_i(t)$
1108,$q_X$
1109,$g(1)=1$
1110,$g'(1-s)=\phi(s)$
1111,"$\mathcal{M}\subset\mathscr{P}[0,1]$"
1112,$34.05$
1113,$\mathsf{Pr}(X>a)>1-\alpha$
1114,$k>m$
1115,$m(x) = \nu S(x) + \delta = \nu (S(a) + \rho)$
1116,$\sqrt{FS}$
1117,$P_{x+b}-P_x$
1118,$c_k$
1119,"$(X, a)$"
1120,$\mathsf{E}(X_i / X)$
1121,$ is a measure on $
1122,$k_i(a) = \phi_i(a) k(a)$
1123,"$\rho(G(\bar x))=\langle \zeta_{\bar x}, G(\bar x) \rangle$"
1124,$(a-X)^+$
1125,"$\langle \zeta, G \rangle=\int q_G q_\zeta$"
1126,$g(p)\ge p$
1127,$\rho(m) = \rho(0) - m$
1128,"$\mathsf{cov}(X_1, N | G = const_j) f_G(const_j)$"
1129,"$f'_\omega (\bar x, h)$"
1130,$g^a$
1131,$\mathsf{VaR}$
1132,$\bar P_{x+b}$
1133,$L_0^{a-Y}$
1134,$\sigma=0.25$
1135,$(\rho)$
1136,"$\bar P^a(t):=\bar P^a(1-t, t)$"
1137,$\mathsf{E}(X)=\int S(x)dx$
1138,$a=q_p(\mathbf{x})$
1139,$a(x)$
1140,$u^{iv}\le 0$
1141,$\mathsf{E}(X \mid X\ge q_{1/k}(X))$
1142,$\bar a_x = (1-\bar A_x)/\delta$
1143,$(g^{k})^a = K$
1144,$s=1$
1145,$X=Y+Z$
1146,$\le$
1147,"$(-\x*0.75, -2)$"
1148,$\mathsf{E}(YZ\mid X)=Z\mathsf{E}(Y\mid X)$
1149,"$X_+:=\max(X,0)$"
1150,$N_i=N_i(x_i)$
1151,"$50) of the amount allowed on each claim in the classes under subsections (3) to (7), inclusive, of this section, shall be deducted from the claim and included in the class under subsection (9) of this section. Claims may not be cumulated by assignment to avoid application of the fifty dollars ($"
1152,$\bar G'(a)=\frac{d\bar G}{da}=G(a)$
1153,$\nu(p)<1$
1154,$\mathsf{E}_q(X_1)$
1155,$\mathsf{E}(L)$
1156,$X_c$
1157,$s_u$
1158,"$T_{x,\delta}$"
1159,$\phi'(s)=\mu(ds)/(1-s)\ge 0$
1160,$SD(G')=\nu$
1161,$x+t$
1162,"$x=0.5, M=1.5,\sigma=0.75, K=6$"
1163,$g'(1)$
1164,$\nu(p) F(x)$
1165,$c_l<c=\mathsf{VaR}$
1166,$E_\mathsf{Q}(X_i \mid X)$
1167,$d(1-d)=v(1-v)=dv$
1168,$\hat\rho(A)<\rho(A)$
1169,$Q=A-P$
1170,$c<0$
1171,$Z=\sum_i b_i1_{E_i}$
1172,$A\in\mathcal{G}$
1173,$X=W+Q$
1174,$Z=Z(\mathbf{X})$
1175,$0 \le 0$
1176,$\tau=0.5$
1177,$\lambda$
1178,$C = cx/a$
1179,$=\dfrac{1}{1-p}\displaystyle\int_{p}^1 q(p)dp$
1180,$\mathsf{SA}$
1181,$\beta_i(t)/\alpha_i(t)<g(S(t))/S(t)$
1182,$Z\preceq \sigma$
1183,$p(a) = 1 - \nu F(a)$
1184,$C^{D+E}$
1185,$\beta((a-X)^+)$
1186,$xf(x)$
1187,$\rho(X)\ge -\rho(-X)$
1188,$l(p)= \nu(p)-\sqrt{p(1-p)}$
1189,$d=1/(1+r)$
1190,$\mathrm{MV}$
1191,$v+l$
1192,$2^{256}=115792089237316195423570985008687907853269984665640564039457584007913129639936=1.2\times 10^{77}$
1193,$kS = m + Ra$
1194,$\hat\rho(X)\ge \rho(X)$
1195,$A_{k_0}$
1196,$\sum_i a_i1_{D_i}$
1197,$\rho(X\wedge a)$
1198,$E(X_i/X \mid X)$
1199,"$697.6 billion in 2016, $"
1200,$\mathsf{E}(Z \mid \mathcal{G})=Z$
1201,$E(G')=1-f$
1202,$\zeta\in \mathcal{Z}*$
1203,$O(n)$
1204,$1_A$
1205,$X(x)=x$
1206,"$p\in [1, \infty]$"
1207,$iota^*$
1208,$A=\mathsf E[X]N + A_0\succeq \mathsf E[X]N$
1209,$\mu_x = A+Bc^x$
1210,$dQ/dp=\phi(p)$
1211,$F_Z^{-1}(U)\in\mathscr{P}$
1212,$A=\rho_{\mathsf{TVaR}}(X)$
1213,$ for all $
1214,$C_2(0)>\mathsf{E}[X_2]$
1215,$M(0)=1$
1216,$2\nu$
1217,$c_k-G\le 0$
1218,$\forall X\in L^p$
1219,$B_t$
1220,$\nu_p$
1221,$Q(a) = (L-a)V(a) = (L-a)^+$
1222,$p\nu_p$
1223,$L_{\sigma_1}\subset L_{\sigma_2}$
1224,$g(x)=x$
1225,"$(p,q(p))$"
1226,$S(x)dx$
1227,$\nabla p$
1228,$Z_1$
1229,$\mathsf{E}[X_i(1) \mid  X(\mathbf{x}) = q_p(\mathbf{x}) ]$
1230,$g(S(x))=q(\tilde p)\phi(\tilde p)$
1231,$r_f$
1232,$\bar P_{40}=6908.82$
1233,$\phi(p)$
1234,$D_i-N_i > 0$
1235,$A=0.00022$
1236,"$(X,a_1)$"
1237,$\rho(X)=\int g(S(x))dx$
1238,$X_i(\mathbf{x}; a)$
1239,$0.5<t<1$
1240,$g<q$
1241,$ν$
1242,$\bar\iota$
1243,$0.318 / 260.81 = 0.13\%$
1244,$0.4-x^2/4.6-\log(x)$
1245,$X\ge Y\implies \rho(X) \ge \rho(Y)$
1246,"$[\alpha,1)$"
1247,$x_i=q(u_i)=F^{-1}(u_i)$
1248,$\epsilon(\mathsf{E}_q(X_1)-t)$
1249,$\rho_\sigma$
1250,"$(rep.east) + (1.5, -0.5)$"
1251,$l_c\le l_i$
1252,$\mathsf{TVaR}_1=\esssup$
1253,$R_2(t) > R_2(0)$
1254,$\sigma_\mu(\alpha) = \displaystyle\int_0^\alpha\dfrac{1}{1-u}\mu(du)$
1255,$\rho(X+Y)\le\rho(X) + \rho(Y)$
1256,$X \prec_n Y$
1257,$\phi_i(a)\mathsf{E}(Y\wedge a) = \mathsf{E}(X_i(a))$
1258,$\rho(X+x)=\rho(X)-x$
1259,$F:\mathbb{R}^n \to \mathcal{X}$
1260,$S>0$
1261,$G = C + \sum_i N_i$
1262,$\sqrt{2Np}=19$
1263,"$(fun1a.south -| fun3a.south east)+(\smlspc,-\smlspc)$"
1264,$g'$
1265,$Y-X\le 0$
1266,$\rho(X-a)=\rho(X)-a$
1267,$\mathsf E[F_i]$
1268,"$750,000,000). The deposit shall be made subject to the approval of the commissioner under those rules and regulations that he or she shall promulgate. The deposit shall be maintained at a deposit value specified by the commissioner, but in any event no less than one hundred thousand dollars ($"
1269,$\mathbb{Q}$
1270,$f(s) = \alpha(1-\alpha)(1-s)^{\alpha-1}$
1271,"$\nu \in\mathscr{P}[0,1]$"
1272,$a\ll \sum_i a_i$
1273,$g^{-1}(x)\le s$
1274,$\mathsf{TVaR}_p(X)=\frac{1}{1-p}\int_p^1 F_X^{-1}(t)dt$
1275,$A_1$
1276,$g_n$
1277,$\bar R$
1278,$\mathsf{E}_\mathsf{P}$
1279,$1/(1-\alpha)$
1280,$u'''>0$
1281,$Z_a$
1282,$t = 1$
1283,$id\times\tau$
1284,"$[0.37, 0.55]$"
1285,$B(1/2)$
1286,"$n=2,3$"
1287,$m(p)=q+p\delta_p$
1288,$\rho(-X)$
1289,$X=X_c + X_n$
1290,$\sigma=0.15$
1291,$\rho(\cdot)$
1292,"$[a,a+da]$"
1293,"$(s,t)$"
1294,$g'(0)>1$
1295,$\le 1$
1296,$q=1-p$
1297,$\rho(X)\ge -\rho(-X)\ge a$
1298,$(\mathsf{E}_q(X_1)-s)/\mathsf{E}_q(X_1)$
1299,"$200 of losses otherwise payable to any claimant under this subsection. All claims under life insurance policies and annuity contracts, whether for death proceeds, annuity proceeds or investment values, must be treated as loss claims. Claims may not be cumulated by assignment to avoid application of the $"
1300,$X_p =F_X^{-1}(p + (1-p)U_X$
1301,$X_i(\alpha)$
1302,$=\mathsf{E}(X_i/X \mid X > a)$
1303,$N=1$
1304,"$a\wedge b:=\min(a,b)$"
1305,$t_2-\epsilon$
1306,"$X_1,X_2$"
1307,$q(1)$
1308,$\theta<1$
1309,$\sum_i X_i(a) = X\wedge a$
1310,$X(T(s))=q(s)$
1311,$\tpx=\exp(-\int_0^t \mu_{x+s}ds)$
1312,$H$
1313,$g^{kS}=R^S$
1314,$a\mapsto n=g^a\pmod{p}$
