"Acc_number","Functional_classes","Protein_families","Putative_functions"
"AT2G38530","Proteins related to lipid metabolism","lipid transfer protein (LTP)","non-specific lipid transfer protein (AtLTP1.4, AtLTP2)"
"AT5G05960","Proteins related to lipid metabolism","lipid transfer protein (LTP)","non-specific lipid transfer protein (AtLTPd8)"
"AT2G38540","Proteins related to lipid metabolism","lipid transfer protein (LTP)","non-specific lipid-transfer protein (AtLTP1.5, AtLTP1)"
"AT2G10940","Proteins related to lipid metabolism","lipid transfer protein (LTP)","homologous to non-specific lipid transfer protein"
"AT1G66970","Proteins related to lipid metabolism","","glycerophosphoryl diester phosphodiesterase (GDPDL1, GDPL3)"
"AT1G49740","Proteins related to lipid metabolism","","expressed protein (phospholipase C, phosphatidylinositol-specific, X domain)"
"AT5G12940","Proteins with interaction domains (with proteins or polysaccharides)","LRR protein","expressed protein (LRR domains)"
"AT1G49750","Proteins with interaction domains (with proteins or polysaccharides)","LRR protein","expressed protein (LRR domains)"
"AT5G62350","Proteins with interaction domains (with proteins or polysaccharides)","pectin methyl esterase inhibitor (PMEI)","plant invertase/pectin methylesterase inhibitor (PMEI-like)"
"AT5G48540","Unknown function","","expressed protein (Gnk2-homologous domain, antifungal protein of Ginkgo seeds)"
"AT4G23170","Unknown function","","expressed protein (Gnk2-homologous domain, antifungal protein of Ginkgo seeds)"
"AT4G38770","Structural proteins","proline-rich protein (PRP)","proline-rich protein (AtPRP4)"
"AT1G55210","Miscellaneous","dirigent protein","dirigent protein (AtDIR20)"
"AT4G23690","Miscellaneous","dirigent protein","dirigent protein (AtDIR6)"
"AT5G15230","Miscellaneous","gibberellic acid-stimulated Arabidopsis (GASA) protein","gibberellic acid-stimulated Arabidopsis (AtGASA4) protein"
"AT2G14900","Miscellaneous","gibberellic acid-stimulated Arabidopsis (GASA) protein","gibberellic acid-stimulated Arabidopsis (AtGASA7) protein"
"AT1G13750","Miscellaneous","purple acid phosphatase (PAP)","purple acid phosphatase (AtPAP1)"
"AT1G13900","Miscellaneous","purple acid phosphatase (PAP)","purple acid phosphatase (AtPAP2)"
"AT2G28790","Miscellaneous","thaumatin","thaumatin (PR5)"
"AT4G18250","Signaling","","thaumatin receptor protein kinase"
"AT1G73620","Miscellaneous","thaumatin","thaumatin (PR5)"
"AT4G29270","Miscellaneous","","acid phosphatase (class B)"
"AT3G47800","Miscellaneous","","aldose-1-epimerase"
"AT3G52720","Miscellaneous","","carbonic anhydrase"
"AT2G43530","Proteins with interaction domains (with proteins or polysaccharides)","protease inhibitor","inhibitor family I18 (family I18 unassigned peptidase inhibitor homologues, MEROPS) (ATTI3)"
"AT2G43550","Proteins with interaction domains (with proteins or polysaccharides)","protease inhibitor","inhibitor family I18 (family I18 unassigned peptidase inhibitor homologues, MEROPS) (ATTI6)"
"AT3G04720","Proteins with interaction domains (with proteins or polysaccharides)","","expressed protein (Barwin domain, defense protein) "
"AT2G26010","Miscellaneous","","homologous to gamma thionin (defensin)"
"AT5G66590","Miscellaneous","","pathogenesis-related protein (PR) 1 / Cys-rich secretory protein (SCP)"
"AT1G35140","Miscellaneous","","phosphate-induced (phi) protein 1 - EXORDIUM-like 1 (AtEXL1)"
"AT4G08950","Miscellaneous","","phosphate-induced (phi) protein 1 - EXORDIUM (AtEXLO)"
"AT5G09440","Miscellaneous","","phosphate-induced (phi) protein 1 - EXORDIUM-like 4 (AtEXL4)"
"AT5G64260","Miscellaneous","","phosphate-induced (phi) protein 1 - EXORDIUM-like 2 (AtEXL2)"
"AT4G24350","Miscellaneous","","phosphorylase"
"AT1G24450","Miscellaneous","","ribonuclease III"
"AT1G14210","Miscellaneous","","ribonuclease T2"
"AT2G39780","Miscellaneous","","ribonuclease T2"
"AT1G74000","Miscellaneous","","strictosidine synthase"
"AT1G20225","Oxido-reductases","","expressed protein (thioredoxin fold)"
"AT2G34810","Oxido-reductases","berberine-bridge oxido-reductase-like (BBE-like)","berberine-bridge enzyme (S)-reticulin:oxygen oxido-reductase-like (AtBBE-like 16)"
"AT4G27520","Oxido-reductases","blue copper binding protein","early nodulin AtEN12 homologous to blue copper binding protein"
"AT4G31840","Oxido-reductases","blue copper binding protein","early nodulin AtEN13 homologous to blue copper binding protein"
"AT5G15350","Oxido-reductases","blue copper binding protein","early nodulin AtEN22 homologous to blue copper binding protein"
"AT3G20570","Oxido-reductases","blue copper binding protein","early nodulin AtEN14 homologous to blue copper binding protein"
"AT5G25090","Oxido-reductases","blue copper binding protein","early nodulin AtEN6 homologous to blue copper binding protein"
"AT2G25060","Oxido-reductases","blue copper binding protein","early nodulin AtEN7 homologous to blue copper binding protein"
"AT5G21100","Oxido-reductases","multicopper oxidase","multicopper oxidase"
"AT4G25240","Oxido-reductases","multicopper oxidase","multicopper oxidase (AtSKS1, homologous to SKU5)"
"AT1G71695","Oxido-reductases","class III peroxidase","peroxidase (AtPrx12)"
"AT3G21770","Oxido-reductases","class III peroxidase","peroxidase (AtPrx30) (ATP7a)"
"AT3G28200","Oxido-reductases","class III peroxidase","peroxidase (AtPrx31)"
"AT3G32980","Oxido-reductases","class III peroxidase","peroxidase (AtPrx32) (ATP16A)"
"AT4G08770","Oxido-reductases","class III peroxidase","peroxidase (AtPrx37) (ATP38)"
"AT4G11290","Oxido-reductases","class III peroxidase","peroxidase (AtPrx39)"
"AT4G37530","Oxido-reductases","class III peroxidase","peroxidase (AtPrx51)"
"AT5G05340","Oxido-reductases","class III peroxidase","peroxidase (AtPrx52)"
"AT1G07080","Oxido-reductases","","thiol reductase (GILT family)"
"AT4G12900","Oxido-reductases","","thiol reductase (GILT family)"
"AT5G10770","Proteases","Asp protease","Asp protease (pepsin family) (Peptidase family A01.A15, MEROPS)"
"AT1G77480","Proteases","Asp protease","Asp protease (pepsin family) (Peptidase family A01.A26, MEROPS)"
"AT3G12700","Proteases","Asp protease","Asp protease (pepsin family) (Peptidase family A01.A30, MEROPS)"
"AT1G01300","Proteases","Asp protease","Asp protease (pepsin family) (Peptidase family A01.A05, MEROPS)"
"AT3G25700","Proteases","Asp protease","Asp protease (pepsin family) (Peptidase family A01.A11, MEROPS)"
"AT5G19110","Proteases","Asp protease","Asp protease (pepsin family) (Peptidase family A1, subfamily A1B, non-peptidase homologues, MEROPS) (homologous to carrot EDGP and tomato XEGIP)"
"AT4G35350","Proteases","Cys protease","Cys protease (cathepsin family)"
"AT1G02305","Proteases","Cys protease","Cys protease (cathepsin B family) (Peptidase family C01.049, MEROPS)"
"AT4G01610","Proteases","Cys protease","Cys protease (cathepsin B family) (Peptidase family C01.144, MEROPS)"
"AT5G60360","Proteases","Cys protease","Cys protease (papain family) (Peptidase family C01.163 MEROPS)"
"AT5G43060","Proteases","Cys protease","Cys protease (papain family) (Peptidase family C01.A12) (RD21B)"
"AT1G78680","Proteases","peptidase C26","peptidase C26 (peptidase family C26.003, MEROPS)(GGH2)"
"AT2G27920","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL51) (Peptidase family S10.017, MEROPS)"
"AT4G30610","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL24, BRS1, Brassinosteroid-Insensitive BRI suppressor 1) (Peptidase family S10.015, MEROPS)"
"AT3G02110","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL25) (Peptidase family S10.A40, MEROPS)"
"AT1G15000","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL50) (Peptidase family S10 unassigned peptidases, MEROPS)"
"AT2G35780","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL26) (Peptidase family S10.A43, MEROPS)"
"AT3G07990","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL27) (Peptidase family S10.A23, MEROPS)"
"AT4G30810","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL29) (Peptidase family S10.A32, MEROPS)"
"AT3G10410","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL49) (Peptidase family S10.A45, MEROPS)"
"AT2G22990","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL8) (Peptidase family S10.A10, MEROPS)"
"AT4G36195","Proteases","peptidase family S28","Pro-Xaa carboxypeptidase (Peptidase family S28.A26, MEROPS)"
"AT1G11580","Proteins acting on cell wall polysaccharides","carbohydrate esterase (CE)","carbohydrate esterase family 8 - CE8 (pectin methylesterase - PME) (AtPME18)"
"AT2G45220","Proteins acting on cell wall polysaccharides","carbohydrate esterase (CE)","carbohydrate esterase family 8 - CE8 (pectin methylesterase - PME) (AtPME17)"
"AT3G59010","Proteins acting on cell wall polysaccharides","carbohydrate esterase (CE)","carbohydrate esterase family 8 - CE8 (pectin methylesterase - PME) (AtPME35)"
"AT2G37640","Proteins acting on cell wall polysaccharides","expansin","alpha-expansin (ATHEXP ALPHA 1.9) (AtEXPA3)"
"AT1G52400","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 1 - GH1 (beta-glucosidase)(AtBG1) (AtBGLU18)"
"AT3G13560","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 17 - GH17 (beta-1,3-glucosidase)"
"AT5G42100","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 17 - GH17 (beta-1,3-glucosidase)"
"AT5G42720","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 17 - GH17 (beta-1,3-glucosidase)"
"AT5G58090","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 17 - GH17 (beta-1,3-glucosidase)"
"AT5G58480","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 17 - GH17 (beta-1,3-glucosidase)"
"AT1G02360","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 19 - GH19"
"AT2G43620","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 19 - GH19"
"AT4G01700","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 19 - GH19"
"AT1G09010","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 2 - GH2"
"AT3G56310","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 27 - GH27 (alpha-galactosidase/melibiase)"
"AT3G61490","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 28 - GH28 (polygalacturonase)"
"AT3G62110","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 28 - GH28 (polygalacturonase)"
"AT4G23820","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 28 - GH28 (polygalacturonase)"
"AT5G10560","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 3 - GH3 (beta-xylosidase) (AtBXL6)"
"AT1G55120","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 32 - GH32 (fructosidase/invertase) (AtcwINV3, FRUCT5)"
"AT1G33811","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT1G54010","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT1G54030","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT2G03980","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT3G48460","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT5G45950","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT2G45180","Proteins related to lipid metabolism","lipid transfer protein (LTP)","homologous to non-specific lipid transfer protein"
"AT5G59320","Proteins related to lipid metabolism","lipid transfer protein (LTP)","non-specific lipid transfer protein (AtLTP1.12, AtLTP3)"
"AT5G59310","Proteins related to lipid metabolism","lipid transfer protein (LTP)","non-specific lipid transfer protein (AtLTP1.11, AtLTP4)"
"AT1G27950","Proteins related to lipid metabolism","lipid transfer protein (LTP)","non-specific lipid transfer protein (AtLTPg4, LTPG1)"
"AT5G55480","Proteins related to lipid metabolism","","glycerophosphoryl diester phosphodiesterase (GDPDL4, GPDL1)"
"AT1G78820","Proteins with interaction domains (with proteins or polysaccharides)","lectin","lectin (curculin-like)"
"AT1G33610","Proteins with interaction domains (with proteins or polysaccharides)","LRR protein","expressed protein (LRR domains)"
"AT5G06860","Proteins with interaction domains (with proteins or polysaccharides)","LRR protein","PGIP1 (LRR domains)"
"AT2G17120","Proteins with interaction domains (with proteins or polysaccharides)","","expressed protein (LysM domain)"
"AT3G62820","Proteins with interaction domains (with proteins or polysaccharides)","pectin methyl esterase inhibitor (PMEI)","plant invertase/ pectin methylesterase inhibitor (PMEI)"
"AT4G12390","Proteins with interaction domains (with proteins or polysaccharides)","pectin methyl esterase inhibitor (PMEI)","plant invertase/pectin methylesterase inhibitor (PMEI-like)"
"AT4G25260","Proteins with interaction domains (with proteins or polysaccharides)","pectin methyl esterase inhibitor (PMEI)","plant invertase/pectin methylesterase inhibitor (PMEI) (AtPMEI7)"
"AT5G20740","Proteins with interaction domains (with proteins or polysaccharides)","pectin methyl esterase inhibitor (PMEI)","plant invertase/pectin methylesterase inhibitor (PMEI) (AtPMEI3)"
"AT4G12730","Signaling","fasciclin-like arabinogalactan protein (FLA)","fasciclin-like arabinogalactan protein (FLA2)"
"AT2G04780","Signaling","fasciclin-like arabinogalactan protein (FLA)","fasciclin-like arabinogalactan protein (FLA7)"
"AT3G17840","Signaling","LRR-RLK","leucine-rich repeat receptor protein kinase"
"AT5G58300","Signaling","LRR-RLK","leucine-rich repeat receptor protein kinase"
"AT3G08680","Signaling","LRR-RLK","leucine-rich repeat receptor protein kinase (LRR III subfamily)"
"AT4G13340","Structural proteins","leucine-rich repeat extensin (LRX)","LRR-extensin (AtLRX3)"
"AT1G28290","Structural proteins","proline-rich protein (PRP)","AGP/proline-rich protein (AtAGP31)"
"AT1G02180","Unknown function","","expressed protein"
"AT1G05835","Unknown function","","expressed protein"
"AT1G52410","Unknown function","","expressed protein"
"AT1G61900","Unknown function","","expressed protein"
"AT3G05730","Unknown function","","expressed protein"
"AT3G18050","Unknown function","","expressed protein"
"AT4G21620","Structural proteins","glycine-rich protein (GRP)","glycine-rich protein (GRP)"
"AT4G28100","Unknown function","","expressed protein"
"AT5G38980","Unknown function","","expressed protein"
"AT5G39570","Unknown function","","expressed protein"
"AT1G55265","Unknown function","","expressed protein (DUF538)"
"AT2G34510","Unknown function","","expressed protein (DUF642)"
"AT2G04690","Unknown function","","expressed protein (human brain CREG protein domain)"
"AT1G58270","Unknown function","","expressed protein (MATH domain)"
"AT1G78040","Unknown function","","expressed protein (Ole e1 allergen domain)"
"AT1G17100","Unknown function","","expressed protein (SOUL heme-binding domain)"
"AT5G20230","Oxido-reductases","blue copper binding protein","stellacyanin AtSTC1, BCB (blue copper binding protein)"
"AT2G22420","Oxido-reductases","class III peroxidase","peroxidase (AtPrx17)"
"AT4G08780","Oxido-reductases","class III peroxidase","peroxidase (AtPrx38)"
"AT5G58390","Oxido-reductases","class III peroxidase","peroxidase (AtPrx67)"
"AT5G64110","Oxido-reductases","class III peroxidase","peroxidase (AtPrx70)"
"AT5G45890","Proteases","Cys protease","Cys protease (papain family) (Peptidase family C01.117 MEROPS) (SAG12)"
"AT1G28110","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL45) (Peptidase family S10.A24, MEROPS)"
"AT5G08260","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL35) (Peptidase family, S10.A34, MEROPS)"
"AT5G51750","Proteases","Ser protease","Ser protease (subtilisin) (AtSBT1.3) (Peptidase family S08.A25, MEROPS)"
"AT4G34980","Proteases","Ser protease","Ser protease (subtilisin) (AtSBT1.6) (Peptidase family S08.A39, MEROPS)"
"AT5G53370","Proteins acting on cell wall polysaccharides","carbohydrate esterase (CE)","carbohydrate esterase family 8 - CE8 (pectin methylesterase - PME) (AtPME61)"
"AT4G02330","Proteins acting on cell wall polysaccharides","carbohydrate esterase (CE)","carbohydrate esterase family 8 - CE8 (pectin methylesterase - PME) (AtPME41)"
"AT2G20750","Proteins acting on cell wall polysaccharides","expansin","beta-expansin (AtEXPB1)"
"AT1G66250","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 17 - GH17 (beta-1,3-glucosidase)"
"AT1G67750","Proteins acting on cell wall polysaccharides","polysaccharide lyase (PL)","polysaccharide lyase family 1 - PL1 (pectate lyase) (AtPLL16)"
"AT1G04680","Proteins acting on cell wall polysaccharides","polysaccharide lyase (PL)","polysaccharide lyase family 1 - PL1 (pectate lyase) (AtPLL26)"
"AT3G04290","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT3G53980","Proteins related to lipid metabolism","lipid transfer protein (LTP)","non-specific lipid transfer protein (AtLTPd7)"
"AT4G36945","Proteins related to lipid metabolism","","expressed protein (phospholipase C, phosphatidylinositol-specific, X domain)"
"AT1G74210","Proteins related to lipid metabolism","","glycerophosphoryl diester phosphodiesterase (GDPD5)"
"AT2G15320","Proteins with interaction domains (with proteins or polysaccharides)","LRR protein","expressed protein (LRR domains)"
"AT3G06035","Unknown function","","expressed protein"
"AT5G19240","Unknown function","","expressed protein"
"AT3G07470","Unknown function","","expressed protein (DUF538)"
"AT3G28220","Unknown function","","expressed protein (MATH domain)"
"AT5G13140","Unknown function","","expressed protein (Ole e1 allergen domain)"
"AT1G53830","Proteins acting on cell wall polysaccharides","carbohydrate esterase (CE)","carbohydrate esterase family 8 - CE8 (pectin methylesterase - PME) (AtPME2)"
"AT3G45940","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 31 - GH31 (alpha-xylosidase) (XYL2)"
"AT5G19100","Proteases","Asp protease","Asp protease (pepsin family) (Peptidase family A1, subfamily A1B, non peptidase homologues, MEROPS) (homologous to carrot EDGP and tomato XEGIP)"
"AT1G71950","Proteins with interaction domains (with proteins or polysaccharides)","protease inhibitor","inhibitor family I9 (unassigned peptidase inhibitors, MEROPS)"
"AT5G60950","Signaling","COBRA-like","COBRA-like (AtCOBL5)"
"AT2G02130","Miscellaneous","","Low-molecular-weight Cysteine-Rich protein 68 (LCR68)/Defensin-like protein 1"
"AT1G11910","Proteases","Asp protease","Asp protease (subfamily S9 unassigned peptidases, MEROPS)"
"AT4G39090","Proteases","Cys protease","Cys protease (cathepsin family)"
"AT1G26770","Proteins acting on cell wall polysaccharides","expansin","alpha-expansin (AtEXPA10)"
"AT1G11820","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 17 - GH17 (beta-1,3-glucosidase)"
"AT2G44290","Proteins related to lipid metabolism","lipid transfer protein (LTP)","non-specific lipid-transfer protein (AtLTPg13)"
"AT1G21880","Proteins with interaction domains (with proteins or polysaccharides)","","expressed protein (LysM domain)"
"AT1G69295","Proteins with interaction domains (with proteins or polysaccharides)","","expressed protein (X8 domain that may be involved in carbohydrate binding)"
"AT2G35860","Signaling","fasciclin-like arabinogalactan protein (FLA)","fasciclin-like arabinogalactan protein (FLA16)"
"AT3G24480","Structural proteins","leucine-rich repeat extensin (LRX)","LRR-extensin (AtLRX4)"
"AT3G07010","Proteins acting on cell wall polysaccharides","polysaccharide lyase (PL)","polysaccharide lyase family 1 - PL1 (pectate lyase) (AtPLL20)"
"AT3G08770","Proteins related to lipid metabolism","lipid transfer protein (LTP)","non-specific lipid transfer protein (AtLTP1.6, AtLTP6)"
"AT4G00860","Unknown function","","expressed protein (DUF1138)"
"AT1G18250","Miscellaneous","thaumatin","thaumatin (PR5, ATLP1)"
"AT5G21105","Oxido-reductases","multicopper oxidase","multicopper oxidase"
"AT5G09760","Proteins acting on cell wall polysaccharides","carbohydrate esterase (CE)","carbohydrate esterase family 8 - CE8 (pectin methylesterase - PME) (AtPME51)"
"AT1G55260","Proteins related to lipid metabolism","lipid transfer protein (LTP)","non-specific lipid-transfer protein (AtLTPg6)"
"AT5G63180","Proteins acting on cell wall polysaccharides","polysaccharide lyase (PL)","polysaccharide lyase family 1 - PL1 (pectate lyase) (AtPLL15)"
"AT1G42480","Unknown function","","expressed protein (DUF3456)"
"AT4G22485","Proteins related to lipid metabolism","lipid transfer protein (LTP)","homologous to non-specific lipid transfer protein"
"AT1G29050","Proteins acting on cell wall polysaccharides","","homologous to A. thaliana PMR5 (Powdery Mildew Resistant) (carbohydrate acylation)"
"AT4G36430","Oxido-reductases","class III peroxidase","peroxidase (AtPrx49) (ATP31)"
"AT3G17790","Miscellaneous","purple acid phosphatase (PAP)","purple acid phosphatase (AtPAP17)"
"AT1G16850","Unknown function","","expressed protein"
"AT5G63140","Miscellaneous","purple acid phosphatase (PAP)","purple acid phosphatase (AtPAP29)"
"AT1G12570","Oxido-reductases","","expressed protein (GMC oxido-reductase domain)"
"AT4G21960","Oxido-reductases","class III peroxidase","peroxidase (AtPrx42)"
"AT4G21585","Proteins related to lipid metabolism","","phospholipase C/P1 nuclease"
"AT4G37520","Oxido-reductases","class III peroxidase","peroxidase (AtPrx50)"
"AT4G35220","Unknown function","","expressed protein (cyclase domain)"
"AT4G22505","Proteins related to lipid metabolism","lipid transfer protein (LTP)","homologous to non-specific lipid transfer protein"
"AT5G65760","Proteases","peptidase family S28","Pro-Xaa carboxypeptidase (Peptidase family S28.A02, MEROPS)"
"AT5G14450","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT4G34480","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 17 - GH17 (beta-1,3-glucosidase)"
"AT3G10450","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL7) (Peptidase family S10.A15, MEROPS)"
"AT2G23000","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL10) (Peptidase family S10.A13, MEROPS)"
"AT3G11700","Signaling","fasciclin-like arabinogalactan protein (FLA)","fasciclin-like arabinogalactan protein (FLA18)"
"AT2G24280","Proteases","peptidase family S28","Pro-Xaa carboxypeptidase (Peptidase family S28.A01, MEROPS)"
"AT1G78450","Unknown function","","expressed protein (SOUL heme-binding domain)"
"AT2G04160","Proteases","Ser protease","Ser protease (subtilisin) (AtSBT5.3, AIR3) (Peptidase family S08.119, MEROPS)"
"AT5G48900","Proteins acting on cell wall polysaccharides","polysaccharide lyase (PL)","polysaccharide lyase family 1 - PL1 (pectate lyase) (AtPLL21)"
"AT1G31710","Oxido-reductases","","copper amine oxidase"
"AT4G01985","Unknown function","","expressed protein"
"AT1G48750","Proteins related to lipid metabolism","lipid transfer protein (LTP)","non-specific lipid-transfer protein (AtLTP2.4)"
"AT3G43670","Oxido-reductases","","copper amine oxidase"
"AT4G30020","Proteases","Ser protease","Ser protease (subtilisin) (AtSBT2.6) (Peptidase family S08.A02, MEROPS)"
"AT5G05480","Proteins acting on cell wall polysaccharides","PNGase A","Peptide-N4-(N-acetyl-beta-glucosaminyl) asparagine amidase A"
"AT5G51550","Miscellaneous","","phosphate-induced (phi) protein 1 - EXORDIUM-like 3 (AtEXL3)"
"AT4G34260","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 65 - GH65 (alpha-L-fucosidase)"
"AT1G21250","Signaling","","receptor kinase (AtWAK1, WALL-ASSOCIATED KINASE 1)"
"AT4G29240","Proteins with interaction domains (with proteins or polysaccharides)","LRR protein","expressed protein (LRR domains)"
"AT2G33330","Unknown function","","expressed protein (Gnk2-homologous domain, antifungal protein of Ginkgo seeds)"
"AT3G02740","Proteases","Asp protease","Asp protease (pepsin family) (Peptidase family A01.A23, MEROPS)"
"AT2G47010","Unknown function","","expressed protein"
"AT4G34180","Unknown function","","expressed protein (cyclase domain)"
"AT3G12610","Proteins with interaction domains (with proteins or polysaccharides)","LRR protein","expressed protein (LRR domains)"
"AT5G41870","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 28 - GH28 (polygalacturonase)"
"AT5G40020","Miscellaneous","thaumatin","thaumatin (PR5)"
"AT1G26820","Miscellaneous","","ribonuclease T2"
"AT5G55450","Proteins related to lipid metabolism","lipid transfer protein (LTP)","non-specific lipid transfer protein (AtLTPd4)"
"AT5G03610","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT4G33420","Oxido-reductases","class III peroxidase","peroxidase (AtPrx47)"
"AT1G65310","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 16 - GH16 (endoxyloglucan transferase) (At-XTH17)"
"AT1G10640","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 28 - GH28 (polygalacturonase)"
"AT1G05260","Oxido-reductases","class III peroxidase","peroxidase (AtPrx03)"
"AT1G28610","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT1G28580","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT1G26560","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 1 - GH1 (beta-glucosidase) (AtBGLU40)"
"AT1G06260","Proteases","Cys protease","Cys protease (papain family) (Peptidase family C01.A26, MEROPS)"
"AT1G22480","Oxido-reductases","blue copper binding protein","uclacyanin AtUCC7 (blue copper binding protein)"
